,,,,,,0,no se tira
Item number,Location,Batch number,Sum of Physical inventory,Sum of TOT,,1,se tira completo
17668001019-3,P263G5,7/09/2024,11200,$1.00 ,,2,se tira parcial (a un lado la diferencia)
17668001019-3,P263G5,5/14/2025,11200,$1.00 ,,,
17668001019-3,P265D4,6/16/2025,13415,$1.00 ,,,
17668001019-3,P264G4,11/7/2024,8400,$1.00 ,,,
17668001019-3,P264G4,1/16/2025,2800,$1.00 ,,,
17668001019-3,P264F4,1/16/2025,11200,$1.00 ,,,
17668001019-3,P267F4,6/16/2025,9600,$1.00 ,,,
17668001019-3,P268E4,6/16/2025,9600,$1.00 ,,,
17668001019-3,p374j3,8/7/2024,8400,$1.00 ,,,
17668001019-3,P265B3,10/3/2024,8400,$1.00 ,,,
17668001019-3,p374l3,11/7/2024,7600,$1.00 ,,,
17668001019-3,P265A4,10/3/2024,7600,$1.00 ,,,
17668001019-3,P263I4,8/7/2024,6400,$1.00 ,,,
17668001019-3,P263H4,8/7/2024,5600,$1.00 ,,,
10768009000-1,p373g3,OB-2021,28800,$1.00 ,,,
10768009000-1,p373h2,14/09/2022,28800,$1.00 ,,,
10768009000-1,p378p4,29/09/2022,20888,$1.00 ,,,
10768009000-1,p376l5,11/10/2022,18900,$1.00 ,,,
10768009000-1,p376i5,11/10/2022,18900,$1.00 ,,,
10768009000-1,p376g2,05/10/2022,6450,$1.00 ,,,
10768009000-1,p263g1,109709,900,$1.00 ,,,
10738047010,MULTIPISO,6/30/2025,24995,$1.00 ,,,
10738047010,MULTIPISO,232640010,1800,$1.00 ,,,
10738047010,p381d1,6/3/2025,16800,$1.00 ,,,
10738047010,p375i3,22025062,15000,$1.00 ,,,
10738047010,p376g4,22025062,9150,$1.00 ,,,
10738047010,p376g4,232640010,450,$1.00 ,,,
10738047010,p381i2,22025062,3600,$1.00 ,,,
10738047010,p381i2,OB-2021,1200,$1.00 ,,,
10738047010,p380b3,28/04/2023,3000,$1.00 ,,,
10738047010,P381K2,OB-2021,1200,$1.00 ,,,
10738047010,P264I1,9/23/2025,110,$1.00 ,,,
10688256017-1,p377g5,OB-2021,37107,$1.00 ,,,
10688256017-1,p378l4,OB-2021,19152,$1.00 ,,,
10688256017-1,p377l5,OB-2021,18887,$1.00 ,,,
10688256017-1,p377h5,IA2025-11,15561,$1.00 ,,,
10688256017-1,p380i3,OB-2021,14364,$1.00 ,,,
10688256017-1,p381j2,OB-2021,14364,$1.00 ,,,
10688256017-1,p376f2,OB-2021,14364,$1.00 ,,,
10688256017-1,p380j2,OB-2021,13167,$1.00 ,,,
10688256017-1,P263D2,OB-2021,1162,$1.00 ,,,
17008034002,MULTIPISO,OB-2021,24122,$1.00 ,,,
17008034002,MULTIPISO,ob-2023,18300,$1.00 ,,,
17008034002,p382d1,ob-2023,4002,$1.00 ,,,
17008034002,P269B1,ia-2025,280,$1.00 ,,,
1789P051066-40A,MULTIRACK1,23238009,140000,$1.00 ,,,
1789P051066-40A,MULTIRACK1,23175009,120000,$1.00 ,,,
1789P051066-40A,MULTIRACK1,23212006,50000,$1.00 ,,,
1789P051066-40A,MULTIRACK1,23226006,32500,$1.00 ,,,
1789P051066-40A,MULTIRACK1,23206009,25000,$1.00 ,,,
1789P051066-40A,MULTIRACK1,23219010,22500,$1.00 ,,,
1789P051066-40A,MULTIRACK1,23189024,20000,$1.00 ,,,
1789P051066-40A,MULTIRACK1,retorno,15213,$1.00 ,,,
1789P051066-40A,MULTIRACK1,6/6/2023,5000,$1.00 ,,,
1789P051066-40A,MULTIRACK1,23175008,5000,$1.00 ,,,
1789P051066-40A,MULTIRACK1,23167015,2500,$1.00 ,,,
1789P051066-40A,MULTIRACK1,20.12.2023,881,$1.00 ,,,
1789P051066-40A,MULTIRACK1,18/12/2023,74,$1.00 ,,,
1789P051066-40A,P263B5,23167015,140000,$1.00 ,,,
1789P051066-40A,P263B5,23212006,7500,$1.00 ,,,
1789P051066-40A,P263D5,23167016,100000,$1.00 ,,,
1789P051066-40A,P268B1,23226006,2470,$1.00 ,,,
20360200125,MULTIRACK2,23220001,6000,$1.00 ,,,
20360200125,MULTIRACK2,12/12/2022,3750,$1.00 ,,,
20360200125,MULTIRACK2,23331007,2448.256,$1.00 ,,,
20360200125,MULTIRACK2,m2211411,750,$1.00 ,,,
20360200125,p382a3,m2211411,750,$1.00 ,,,
20360200125,p380c1,23331007,750,$1.00 ,,,
20360200125,p382d3,30/01/2025,50.3,$1.00 ,,,
10778066000,p381b3,2292739,107342.27,$1.00 ,,,
10778066000,p381c2,23177005,45660,$1.00 ,,,
10778066000,p381c2,OB-2021,38190,$1.00 ,,,
10778066000,p374h3,17/01/2023,29375,$1.00 ,,,
10778066000,p380b1,4451045,10538,$1.00 ,,,
10768156000,p374b3,24022002,61756,$1.00 ,,,
10768156000,P263E1,12-06-2023,7000,$1.00 ,,,
10768156000,p380j4,04/10/2022,3034,$1.00 ,,,
10768156000,p380j4,23338003,1000,$1.00 ,,,
10768156000,p380j4,11/24/2021,725,$1.00 ,,,
10768156000,P265D2,GENERICO,2000,$1.00 ,,,
10768156000,P265D2,28/01/23,421,$1.00 ,,,
10768156000,P270F1,ia-2025,96,$1.00 ,,,
20360100397,p383k1,OB-2021,1625,$1.00 ,,,
20360100397,p381b1,OB-2021,1000,$1.00 ,,,
20360100397,P382K2,OB-2021,1000,$1.00 ,,,
20360100397,p382j1,OB-2021,975,$1.00 ,,,
20360100397,p378m1,OB-2021,900,$1.00 ,,,
20360100397,p381b2,OB-2021,400,$1.00 ,,,
20360100397,p381c2,OB-2021,108.5,$1.00 ,,,
10728000036,p379h5,IA2028-11,62785,$1.00 ,,,
10728000036,P270F2,OB-2021,5454,$1.00 ,,,
10728000036,P263H1,OB-2021,1200,$1.00 ,,,
17238486008-3,MULTIRACK1,26/04/2023,21510,$1.00 ,,,
17238486008-3,p381e3,22/09/2022,12000,$1.00 ,,,
17238486008-3,P379K3,22/11/2022,7185,$1.00 ,,,
17238486008-3,p382b5,OB-2021,6000,$1.00 ,,,
17238486008-3,p373b3,99614,5355,$1.00 ,,,
17238486008-3,P270D4,951292,4000,$1.00 ,,,
17238486008-3,p382h5,22/11/2022,4000,$1.00 ,,,
17238486008-3,p375d2,99614,4000,$1.00 ,,,
17238486008-3,P269F4,951292,675,$1.00 ,,,
10760000622-1,p373d4,48326,17898,$1.00 ,,,
10760000622-1,p382g4,16259,15000,$1.00 ,,,
10760000622-1,p373f4,16011,15000,$1.00 ,,,
10760000622-1,p381h4,5039576,13000,$1.00 ,,,
10760000622-1,P271G1,16011,800,$1.00 ,,,
10760000622-1,P271E5,5039826,117,$1.00 ,,,
17008026002,MULTIPISO,22/05/2023,4696,$1.00 ,,,
17008026002,MULTIPISO,OB-2021,4314,$1.00 ,,,
17008026002,p374e2,ob-2023,4817.76,$1.00 ,,,
17008026002,p383d1,22/06/2023,2237,$1.00 ,,,
17008026002,P263E1,23-01-2023,465,$1.00 ,,,
A614N53 08 02,p373d3,OB-2021,38400,$1.00 ,,,
A614N53 08 02,p373i2,OB-2021,36000,$1.00 ,,,
A614N53 08 02,p373f4,OB-2021,20400,$1.00 ,,,
A614N53 08 02,P267E2,OB-2021,2400,$1.00 ,,,
10548554011,p383g3,OB-2021,1440,$1.00 ,,,
10548554011,p383i5,OB-2021,1440,$1.00 ,,,
10548554011,p383h3,OB-2021,1440,$1.00 ,,,
10548554011,p373m4,OB-2021,1440,$1.00 ,,,
10548554011,p383g2,OB-2021,1440,$1.00 ,,,
10548554011,p375c5,OB-2021,1440,$1.00 ,,,
10548554011,p383g4,OB-2021,1440,$1.00 ,,,
10548554011,p376b5,OB-2021,1440,$1.00 ,,,
10548554011,p383h4,OB-2021,1440,$1.00 ,,,
10548554011,p376c5,OB-2021,1440,$1.00 ,,,
10548554011,p383f4,OB-2021,1440,$1.00 ,,,
10548554011,p376m2,OB-2021,1440,$1.00 ,,,
10548554011,p375b5,OB-2021,1350,$1.00 ,,,
10548554011,p383f2,OB-2021,1260,$1.00 ,,,
10548554011,p383h2,OB-2021,1080,$1.00 ,,,
10548554011,p376e5,IA2025-11,720,$1.00 ,,,
10548554011,p373f3,OB-2021,720,$1.00 ,,,
10548554011,p376d5,EXP43990,720,$1.00 ,,,
10548554011,p376f5,OB-2021,630,$1.00 ,,,
10548554011,p383i4,OB-2021,594,$1.00 ,,,
10548554011,p382d3,OB-2021,540,$1.00 ,,,
10548554011,P263B1,OB-2021,174,$1.00 ,,,
10548554011,P263C1,OB-2021,157,$1.00 ,,,
10678000639,P268G5,OB-2021,82000,$1.00 ,,,
10678000639,P271B5,OB-2021,20000,$1.00 ,,,
10678000639,P267G4,11302018 RR,16000,$1.00 ,,,
10678000639,P266H4,OB-2021,6512,$1.00 ,,,
10678000639,P271D5,OB-2021,4000,$1.00 ,,,
10678000639,P265E5,OB-2021,4000,$1.00 ,,,
T50137 70C,MULTIRACK1,OB-2021,194000,$1.00 ,,,
T50137 70C,MULTIRACK1,A211021,109776,$1.00 ,,,
T50137 70C,MULTIRACK1,a220103,62000,$1.00 ,,,
T50137 70C,MULTIRACK1,a220217,50000,$1.00 ,,,
T50137 70C,MULTIRACK1,a220210,48000,$1.00 ,,,
T50137 70C,MULTIRACK1,a2202224,26000,$1.00 ,,,
T50137 70C,MULTIRACK1,A220113,8000,$1.00 ,,,
T50137 70C,MULTIRACK1,A220127,5946,$1.00 ,,,
T50137 70C,MULTIRACK1,18/12/2023,4235,$1.00 ,,,
T50137 70C,MULTIRACK1,9/24/2021,2000,$1.00 ,,,
T50137 70C,p373c2,OB-2021,32000,$1.00 ,,,
T50137 70C,p376l1,A220127,12000,$1.00 ,,,
T50137 70C,p376l1,IA2025-11,4000,$1.00 ,,,
T50137 70C,p380f3,OB-2021,1663,$1.00 ,,,
10778605005,P3ZONA4,wo00022671,17171,$1.00 ,,,
10778058000,p375c3,OB-2021,102230,$1.00 ,,,
10778058000,p374e3,OB-2021,79706,$1.00 ,,,
10778130000,p374g3,20/12/2022,65500,$1.00 ,,,
10778130000,p375e4,233110040,58177,$1.00 ,,,
10778130000,p374g2,8223200595,49422,$1.00 ,,,
10778130000,p374k3,240310015,21034.35,$1.00 ,,,
10548557000,P271D5,OB-2021,16000,$1.00 ,,,
10548557000,p373h2,OB-2021,7000,$1.00 ,,,
10548557000,p382e3,OB-2021,5000,$1.00 ,,,
10548557000,p380h2,OB-2021,3000,$1.00 ,,,
10548557000,P270B2,OB-2021,1002,$1.00 ,,,
10548557000,p377i4,OB-2021,1000,$1.00 ,,,
10728129000,p381h3,OB-2021,12150,$1.00 ,,,
10728129000,p381d4,OB-2021,10800,$1.00 ,,,
10728129000,P383K4,OB-2021,8100,$1.00 ,,,
10728129000,p381d5,OB-2021,7200,$1.00 ,,,
10728129000,p373e4,OB-2021,7200,$1.00 ,,,
10728129000,P266E1,ia-2025,919,$1.00 ,,,
10728129000,P266E1,8-21-2019ors,739,$1.00 ,,,
10728129000,p380j4,OB-2021,442,$1.00 ,,,
10728129000,P265D2,OB-2021,418,$1.00 ,,,
10738007018,P265B3,12/4/2024,13500,$1.00 ,,,
10738007018,P265G5,8/21/2025,11864,$1.00 ,,,
10738007018,P263D3,8/19/2025,6000,$1.00 ,,,
10738007018,P265C5,12/4/2024.,4500,$1.00 ,,,
10738007018,P263G2,10/31/2024,2500,$1.00 ,,,
10738007018,P263D1,9/22024,2379,$1.00 ,,,
10738007018,P265D1,10/18/2024,1000,$1.00 ,,,
10738007018,P265D1,8/21/2025,750,$1.00 ,,,
10738007018,P263A1,8/19/2025,100,$1.00 ,,,
10548550880,p375d4,20220228,9800,$1.00 ,,,
10548550880,p376o2,52004,8823,$1.00 ,,,
10548550880,p376d2,20220228,5250,$1.00 ,,,
10548550880,p376o3,52004,5250,$1.00 ,,,
